dirbt_id,seniunijos_pavad,obje_tipas,pask_tipas,aukstu_skaicius,atr_uzstatytas_plotas,stat_pabaigos_metai,status,n_candidates,n_categorical_pool,best_unikalus_nr,best_b_area,log_area_dist
75682292562019679,Šančių sen.,20,110,1,130.0,1928.0,ambiguous,14576,15727,199340256017,129.99929999415465,5.384674845565485e-06
74447799422456412,Kauno m.,28,240,1,27.0,1978.0,ambiguous,995,3176,199300179020,26.94290380843917,0.00211691284124349
7458960280856157,Kauno m.,20,110,2,109.0,1993.0,ambiguous,7087,8034,440003588841,108.99669999884367,3.0275698270187945e-05
75337018388399707,Aleksoto sen.,20,110,1,318.0,2006.0,ambiguous,4810,15727,520010087014,318.09499999968335,0.00029869752282163375
74449545508247061,Kauno m.,28,240,1,20.0,1968.0,ambiguous,617,3176,440027549862,20.046249997112902,0.002309830142869007
7568051530079116,Vilijampolės sen.,20,110,1,41.08,1930.0,ambiguous,4506,15727,199300666010,41.04154999341145,0.0009364170403816097
7459087086823675,Kauno m.,28,240,1,22.75,1983.0,ambiguous,773,3176,199670071024,22.702791793063444,0.0020772419932533204
75404623378608981,Eigulių sen.,20,140,9,905.0,1983.0,ambiguous,242,303,199760083014,907.0030999995028,0.0022109242699022147
65230308800084638,Šilainių sen.,20,110,1,160.0,2019.0,ambiguous,13335,15727,199350069019,160.00144707591636,9.044183578943432e-06
75648844864503101,Vilijampolės sen.,20,110,1,90.0,1938.0,ambiguous,13772,15727,199510100017,90.00124999977648,1.3888789955451841e-05
74454760289198618,Kauno m.,28,240,1,23.0,1992.0,ambiguous,785,3176,440050269433,23.024728073147582,0.0010745560728868675
74434754063291475,Kauno m.,28,240,1,54.0,1978.0,ambiguous,1902,3176,440058769710,54.00028103423108,5.204324069918442e-06
75011990370069476,Kauno m.,28,240,1,19.0,1948.0,ambiguous,555,3176,440041270455,19.060278235022437,0.003167516803143755
75520787887964097,Dainavos sen.,20,140,5,1104.0,1970.0,ambiguous,640,847,199720164018,1102.9703499917794,0.0009330891852989964
75712869790910478,Kauno m.,22,224,1,459.0,1991.0,ambiguous,307,729,199280328021,458.2259262034812,0.001687858919322771
74545814660595483,Kauno m.,28,240,1,63.0,1993.0,ambiguous,2067,3176,440020485314,63.04580000315867,0.0007267200521265949
64788442107586802,Kauno m.,20,110,2,61.0,1968.0,ambiguous,4906,8034,440054790968,60.93729793322396,0.0010284313883497376
75673087760565597,Žaliakalnio sen.,24,140,2,176.0,1937.0,ambiguous,364,430,199290006010,176.39999999897555,0.0022701485287317524
64931616941440909,Petrašiūnų sen.,20,110,2,200.0,2017.0,ambiguous,5526,8034,440043713357,199.97963089584945,0.00010185070735957424
